Course,Title,A,B,C,D,F,P,N(P),W,I,Number,Professor
EDF,Effective Online Teaching,83%,0%,8%,0%,8%,0%,0%,0%,0%,8200,"Kane, Robert Todd"
EDF,Mixed Methods Research,80%,10%,0%,0%,0%,0%,0%,10%,0%,9750,"Rapa, Luke J"
EDF,"EDF9770Brown, Christy Jenkins",75.50%,19%,0%,0%,0%,0%,0%,5.50%,0%,9770,"Brown, Christy Jenkins"
EDHD,Developing a STEAM Com,80%,0%,0%,0%,20%,0%,0%,0%,0%,8310,"Bennett, Amanda E"
EDHD,SEL & the Impact of ACES,87%,7%,0%,0%,7%,0%,0%,0%,0%,8310,"Hall, Jennifer Geddes"
EDHD,Into. to Online Teaching,83%,8%,0%,0%,8%,0%,0%,0%,0%,8310,"Pelt, April Susanne"
EDHD,Fostering Transdisc. Teachi,86%,0%,0%,0%,14%,0%,0%,0%,0%,8310,"Wiles, Daphne Duncan"
EDIS,Doctoral Dissertation Rese,0%,0%,0%,0%,0%,100%,0%,0%,0%,9910,"Nesbitt, Barbara J"
EDIS,Doctoral Dissertation Rese,0%,0%,0%,0%,0%,100%,0%,0%,0%,9910,"Paufler, Noelle Angeline"
EDIS,Doctoral Dissertation Rese,0%,0%,0%,0%,0%,100%,0%,0%,0%,9910,"Wilkerson, Reginald D"
EDL,Politics of Educ,57%,43%,0%,0%,0%,0%,0%,0%,0%,8200,"Lindle, Jane C"
EDL,"Education Policy, Law & Et",78%,22%,0%,0%,0%,0%,0%,0%,0%,9500,"Lindle, Jane C"
EDL,Current Issues EDL,81%,13%,0%,0%,0%,0%,0%,0%,6%,9800,"Hall, Danielle"
EDL,Doctoral Dissertation Rese,0%,0%,0%,0%,0%,100%,0%,0%,0%,9910,"Hall, Danielle"
EDL,Doctoral Dissertation Rese,0%,0%,0%,0%,0%,100%,0%,0%,0%,9910,"Paufler, Noelle Angeline"
EDLL,Law/Ethics for School Lead,87%,7%,0%,0%,0%,0%,0%,7%,0%,8250,"Webb, Rodney Douglas"
EDLL,Resource Mgt for School L,82%,0%,6%,0%,0%,0%,0%,0%,12%,8450,"Klar, Hans William"
EDLT,Reading Children's Lit in El,92%,4%,4%,0%,0%,0%,0%,0%,0%,4620,"Stockwell, Daniel"
EDLT,Teaching Rdg/Writing for E,26%,65%,9%,0%,0%,0%,0%,0%,0%,4630,"Butler, Tracy Dawn"
EDLT,Teaching Rdg/Writing for E,80%,20%,0%,0%,0%,0%,0%,0%,0%,4630,"Gazioglu, Mihaela"
EDLT,Assessment in Reading &,80%,20%,0%,0%,0%,0%,0%,0%,0%,8120,"Savitz, Rachelle S"
EDLT,Literacy Instruction Practic,89%,7%,0%,0%,0%,0%,0%,4%,0%,8160,"Dawson, Jaime Adele Henderson"
EDLT,"Organiz, Admin & Superv i",65%,23%,8%,0%,0%,0%,0%,4%,0%,8180,"Savitz, Rachelle S"
EDLT,Reading Recovery Teacher,73%,27%,0%,0%,0%,0%,0%,0%,0%,8810,"Howard, Stacy Mason"
EDSA,CI-Peer Dialogue Facilitatio,94%,0%,0%,0%,0%,0%,0%,6%,0%,2990,"Harkless, Rebecca Michelle"
EDSA,"EDSA3900Pernotto, Eric T",75.30%,15.30%,2.20%,0.60%,0%,0%,0%,6.80%,0%,3900,"Pernotto, Eric T"
EDSA,"EDSA8340Wagner, Rachel Lynn",0%,0%,0%,0%,0%,100%,0%,0%,0%,8340,"Wagner, Rachel Lynn"
EDSA,Student Affairs Internship,0%,0%,0%,0%,0%,100%,0%,0%,0%,8440,"Cawthon, Tony W"
EDSC,Sec Soc Capstone,82%,18%,0%,0%,0%,0%,0%,0%,0%,4580,"Duncan, Kristen Earnise"
EDSP,"EDSP3700Cunningham, Joanne E. M.",89%,9.50%,0%,0%,1.50%,0%,0%,0%,0%,3700,"Cunningham, Joanne E. M."
EDSP,Intro to Special Education,84%,16%,0%,0%,0%,0%,0%,0%,0%,3700,"Rogers, Michelle Lee"
EDSP,Char & Instr of ID & Autism,87%,13%,0%,0%,0%,0%,0%,0%,0%,3730,"Rogers, Michelle Lee"
EDSP,Teach Writing Students w/,87%,9%,4%,0%,0%,0%,0%,0%,0%,4900,"Allen, Abigail Anne"
EDSP,Ed Assess Ind W/Dis,91%,4%,0%,0%,4%,0%,0%,0%,0%,4910,"Katsiyannis, Antonis"
EDSP,Ed Assmt Ind W/Dis,84%,5%,0%,0%,11%,0%,0%,0%,0%,8210,"Griffith, Catherine Aurentz"
EDSP,Legal/Pol Issu Sp Ed,83%,11%,6%,0%,0%,0%,0%,0%,0%,8530,"Katsiyannis, Antonis"
EDSP,Single Case Research Desig,88%,13%,0%,0%,0%,0%,0%,0%,0%,8740,"Griffith, Catherine Aurentz"
EES,Environ Engr Fundamental,80%,13%,7%,0%,0%,0%,0%,0%,0%,2020,"Finneran, Kevin Thomas"
EES,Environmental Engr,39%,37%,20%,4%,0%,0%,0%,0%,0%,4010,"Carraway, Elizabeth R."
EES,Environmental Engr,40%,32%,17%,6%,2%,0%,0%,2%,0%,4010,"Cates, Ezra Lucas Hoyt"
EES,Water & Waste Water Tre,33%,13%,20%,20%,7%,0%,0%,7%,0%,4020,"Schlautman, Mark A."
EES,Radioecology,60%,10%,20%,0%,0%,0%,0%,10%,0%,4140,"Martinez, Nicole Elizabeth"
EES,Air Pollution Engineering,57%,30%,13%,0%,0%,0%,0%,0%,0%,4300,"Metcalf, Andrew Richard"
EES,Capstone Design Project,90%,10%,0%,0%,0%,0%,0%,0%,0%,4750,"Ladner, David Allen"
EES,"EES4860Carbajales-Dale, Michael Anthony",39%,55.50%,5.50%,0%,0%,0%,0%,0%,0%,4860,"Carbajales-Dale, Michael Anthony"
EES,CI:EvalWaterQual & Kidne,88%,0%,0%,0%,0%,0%,0%,13%,0%,4900,"Ladner, David Allen"
EES,Phy/Chem Ops W/WW T,50%,42%,8%,0%,0%,0%,0%,0%,0%,8030,"Cates, Ezra Lucas Hoyt"
EES,Biochem Ops WW Trt,70%,30%,0%,0%,0%,0%,0%,0%,0%,8040,"Freedman, David L"
EES,Subsurface Remed Mod,75%,13%,13%,0%,0%,0%,0%,0%,0%,8090,"Falta, Ronald W"
EES,Combust & Air Poll Control,63%,13%,25%,0%,0%,0%,0%,0%,0%,8330,"Metcalf, Andrew Richard"
EES,Environmental Engr & Sci S,0%,0%,0%,0%,0%,100%,0%,0%,0%,8610,"Popat, Sudeep"
EES,Ee&S Phd Seminar,0%,0%,0%,0%,0%,100%,0%,0%,0%,9610,"Pullen, Alexander Thomas"
EES,Doctoral Dissertation Rese,0%,0%,0%,0%,0%,100%,0%,0%,0%,9910,"Powell, Brian A."
ELE,"ELE3010Parnell, Ashley Williams",21%,38.25%,33.25%,3.50%,0%,0%,0%,3.75%,0%,3010,"Parnell, Ashley Williams"
ELE,"ELE4010Navis, Chad C",70.50%,28.50%,0%,0%,0%,0%,0%,1%,0%,4010,"Navis, Chad C"
ELE,Venture Planning,56%,39%,2%,0%,0%,0%,0%,2%,0%,4020,"Dinardo, William Frank"
ELE,Entrepreneurial Resource,64%,31%,5%,0%,0%,0%,0%,0%,0%,4040,"Hudgins, James Keith"
ELE,Family Business,51%,46%,1%,0%,0%,0%,0%,1%,0%,4080,"Trudell, Lori Leigh Tribble"
ENGL,Composition and Rhetoric,81%,14%,5%,0%,0%,0%,0%,0%,0%,1030,"Burgess, Jonathan M"
ENGL,"ENGL1030Chung, Shauna",68.50%,29.50%,2.50%,0%,0%,0%,0%,0%,0%,1030,"Chung, Shauna"
ENGL,"ENGL1030Clarey, Chelsea Marie",20.50%,51.50%,15.50%,2.50%,2.50%,0%,0%,7.50%,0%,1030,"Clarey, Chelsea Marie"
ENGL,"ENGL1030Dugan, Melissa M",78%,15%,0%,2.50%,5%,0%,0%,0%,0%,1030,"Dugan, Melissa M"
ENGL,Composition and Rhetoric,86%,5%,5%,0%,0%,0%,0%,5%,0%,1030,"Easler, Justin"
ENGL,"ENGL1030Fisher, Brandon E",71.50%,16.50%,9.50%,0%,2.50%,0%,0%,0%,0%,1030,"Fisher, Brandon E"
ENGL,"ENGL1030Glenn, Rebecca E",76%,21.50%,2.50%,0%,0%,0%,0%,0%,0%,1030,"Glenn, Rebecca E"
ENGL,"ENGL1030Gorton, John",59%,26.50%,14.50%,0%,0%,0%,0%,0%,0%,1030,"Gorton, John"
ENGL,Composition and Rhetoric,57%,10%,10%,0%,10%,0%,0%,14%,0%,1030,"Hill, Carrie Lynn"
ENGL,"ENGL1030McKelvey, Richard Seth",73.75%,20.50%,1.25%,0%,3.75%,0%,0%,1.25%,0%,1030,"McKelvey, Richard Seth"
ENGL,Composition and Rhetoric,48%,48%,0%,0%,0%,0%,0%,5%,0%,1030,"Monaghan, Amy N"
ENGL,"ENGL1030Montgomery- Anderson, Stephen B",69%,21.50%,2.50%,2.50%,0%,0%,0%,5%,0%,1030,"Montgomery- Anderson, Stephen B"
ENGL,Composition and Rhetoric,82%,18%,0%,0%,0%,0%,0%,0%,0%,1030,"Murdock, Chelsea Jeanine"
ENGL,"ENGL1030Nestor, Mary Catherine",72%,12%,5%,2.50%,5%,0%,0%,5%,0%,1030,"Nestor, Mary Catherine"
ENGL,"ENGL1030Persin, Meredith",85.50%,12%,0%,2.50%,0%,0%,0%,0%,0%,1030,"Persin, Meredith"
ENGL,"ENGL1030Rader, Nicholas",64.50%,21.50%,5%,0%,7.50%,0%,0%,0%,2.50%,1030,"Rader, Nicholas"
ENGL,"ENGL1030Randall, Philip D",36%,50%,14.50%,0%,0%,0%,0%,0%,0%,1030,"Randall, Philip D"
ENGL,Composition and Rhetoric,76%,19%,5%,0%,0%,0%,0%,0%,0%,1030,"Richardson, Sarah Elizabeth"
ENGL,"ENGL1030Richter, Jacob Danial",86%,5%,0%,2.50%,2.50%,0%,0%,5%,0%,1030,"Richter, Jacob Danial"
ENGL,"ENGL1030Riggs, Lane",78.50%,17%,2.50%,0%,0%,0%,0%,2.50%,0%,1030,"Riggs, Lane"
ENGL,"ENGL1030Ross, Rebecca Rea S",70.50%,17.50%,0%,5%,7%,0%,0%,0%,0%,1030,"Ross, Rebecca Rea S"
ENGL,"ENGL1030Rue, Caroline Maas",83.50%,10%,2.50%,0%,5%,0%,0%,0%,0%,1030,"Rue, Caroline Maas"
ENGL,"ENGL1030Smith, Frances Chapman",86%,5%,5%,0%,2.50%,0%,0%,2.50%,0%,1030,"Smith, Frances Chapman"
ENGL,"ENGL1030Troy, Edward Thomas Joseph",59.50%,22.75%,9.50%,2.50%,1.25%,0%,0%,5%,0%,1030,"Troy, Edward Thomas Joseph"
ENGL,"ENGL1030Wakefield, Jennie Elizabeth",75.33%,16.67%,5%,1.67%,0%,0%,0%,0%,1.67%,1030,"Wakefield, Jennie Elizabeth"
ENGL,"ENGL1030Watt, Caitlin Grace",87%,8.33%,0%,0%,0%,0%,0%,4.67%,0%,1030,"Watt, Caitlin Grace"
ENGL,"ENGL1030Wilkosz, Gabrielle A",85%,7.50%,2.50%,2.50%,0%,0%,0%,2.50%,0%,1030,"Wilkosz, Gabrielle A"
ENGL,Composition and Rhetoric,81%,14%,0%,0%,5%,0%,0%,0%,0%,1030,"Williams, David G"
ENGL,"ENGL2020Citro, Daniel Scott",49%,34.50%,10%,0%,1.50%,0%,0%,3%,1.50%,2020,"Citro, Daniel Scott"
ENGL,"ENGL2020Dugan, Melissa M",88%,10%,0%,1.50%,0%,0%,0%,0%,0%,2020,"Dugan, Melissa M"
ENGL,"ENGL2020Edwards, Stephanie Lorraine",78%,15.67%,2.33%,1%,1%,0%,0%,2%,0%,2020,"Edwards, Stephanie Lorraine"
ENGL,"ENGL2020Lawson, April Ayers",88%,5.50%,5%,0%,0%,0%,0%,1.50%,0%,2020,"Lawson, April Ayers"
ENGL,"ENGL2120Citro, Daniel Scott",73.50%,15%,1.50%,5%,3%,0%,0%,1.50%,0%,2120,"Citro, Daniel Scott"
ENGL,World Literature,33%,50%,0%,0%,3%,0%,0%,13%,0%,2120,"Faridi, Maziyar"
ENGL,"ENGL2120Foltz, David Charles",42.67%,37%,9%,5.33%,1%,0%,0%,3%,1%,2120,"Foltz, David Charles"
ENGL,"ENGL2120Ghita, Lucian",57%,35.25%,4%,0.75%,0.75%,0%,0%,1.50%,0%,2120,"Ghita, Lucian"
ENGL,"ENGL2120Kettnich, Karen M",42.75%,37%,13.75%,0.75%,0%,0%,0%,5.25%,0%,2120,"Kettnich, Karen M"
ENGL,"ENGL2120MacAlystre, Megan Noel",29%,54%,8.50%,5%,1.50%,0%,0%,1.50%,0%,2120,"MacAlystre, Megan Noel"
ENGL,"ENGL2120Pierce, Ingrid Anna",66.50%,27%,4%,0%,0%,0%,0%,1.50%,0.75%,2120,"Pierce, Ingrid Anna"
ENGL,World Lit: Ancient Love,46%,21%,14%,0%,4%,0%,0%,14%,0%,2120,"Tuite, Kenneth Michael"
ENGL,"ENGL2130Chwala, Gregory Luke",39.25%,40%,12.25%,2.75%,2.75%,0%,0%,2.75%,1%,2130,"Chwala, Gregory Luke"
ENGL,"ENGL2130MacAlystre, Megan Noel",29%,38%,17%,10.50%,5%,0%,0%,0%,0%,2130,"MacAlystre, Megan Noel"
ENGL,"ENGL2130Makala, Remley Melissa Edmundson",43.50%,28.25%,6.75%,4.50%,3.50%,0%,0%,11.25%,1.75%,2130,"Makala, Remley Melissa Edmundson"
ENGL,"ENGL2130McKelvey, Chelsea Rice",84%,15%,1%,0%,0%,0%,0%,0%,0%,2130,"McKelvey, Chelsea Rice"
ENGL,"ENGL2130Slayton, Kendra M",76%,16.50%,0%,3.50%,2%,0%,0%,2%,0%,2130,"Slayton, Kendra M"
ENGL,"ENGL2140Clarey, Chelsea Marie",5%,39.50%,34.50%,5%,5%,0%,0%,7%,3%,2140,"Clarey, Chelsea Marie"
ENGL,"ENGL2140Dugan, Melissa M",66.50%,28.50%,1.50%,0%,3.50%,0%,0%,0%,0%,2140,"Dugan, Melissa M"
ENGL,"ENGL2140Forsberg, Jennifer Hagen",73.25%,11.50%,8.25%,5%,0%,0%,0%,1.50%,0%,2140,"Forsberg, Jennifer Hagen"
ENGL,"ENGL2140Godwin, Hannah Pittman",42.67%,40.67%,9%,1.33%,3.33%,0%,0%,2.33%,0%,2140,"Godwin, Hannah Pittman"
ENGL,American Lit: Natural Worl,43%,36%,4%,0%,7%,0%,0%,7%,4%,2140,"Mastroianni, Dominic B"
ENGL,"ENGL2150Bryan, Peter C",82.33%,12%,2%,0%,1%,0%,0%,2%,0%,2150,"Bryan, Peter C"
ENGL,20th-21st Lit: Nature,80%,13%,3%,0%,0%,0%,0%,3%,0%,2150,"Hooley, Matthew H"
ENGL,20th-21st Lit: Ireland,18%,65%,6%,0%,0%,0%,0%,12%,0%,2150,"Morrissey, Lee J"
ENGL,"ENGL2150Nalley, Sharon Kathleen",54%,32.50%,5%,3%,1.50%,0%,0%,3.50%,0%,2150,"Nalley, Sharon Kathleen"
ENGL,"ENGL2150Nestor, Mary Catherine",42%,32%,15%,1.50%,5%,0%,0%,3.50%,0%,2150,"Nestor, Mary Catherine"
ENGL,"ENGL2150Pursley, John Logan",51%,28.67%,6.67%,2%,3.33%,0%,0%,7.67%,0%,2150,"Pursley, John Logan"
ENGL,"ENGL2150Stansell, Elizabeth Anderson",66.50%,21.75%,5.75%,0.75%,2.50%,0%,0%,1.50%,0.75%,2150,"Stansell, Elizabeth Anderson"
ENGL,20th-21st Lit: Non-Fiction,93%,3%,0%,0%,0%,0%,0%,3%,0%,2150,"Swords, Allen N."
ENGL,"ENGL2160Johnson, Tareva Leselle",69%,19%,3.25%,1.50%,2.50%,0%,0%,4.25%,0%,2160,"Johnson, Tareva Leselle"
ENGL,"ENGL2160Rogers, Jamie Ann",77.67%,12.67%,3.67%,0%,3.33%,0%,0%,1%,1.33%,2160,"Rogers, Jamie Ann"
ENGL,Intro to Journalism,61%,28%,0%,6%,0%,0%,0%,6%,0%,2310,"Pulley, William M"
ENGL,"ENGL3040Carter, Sarah Elizabeth Smith",84%,12%,4%,0%,0%,0%,0%,0%,0%,3040,"Carter, Sarah Elizabeth Smith"
ENGL,"ENGL3040Cunningham, William Weldon",51%,41%,8%,0%,0%,0%,0%,0%,0%,3040,"Cunningham, William Weldon"
ENGL,"ENGL3040Green, La'Cresha Ulon",68.25%,28.75%,2%,0%,1%,0%,0%,0%,0%,3040,"Green, La'Cresha Ulon"
ENGL,"ENGL3040Matheson, Laurianne Proctor",84%,14%,0%,0%,2%,0%,0%,0%,0%,3040,"Matheson, Laurianne Proctor"
ENGL,Business Writing,78%,16%,7%,0%,0%,0%,0%,0%,0%,3040,"Williams, Heather Price"
ENGL,The Practice of Criticism,68%,16%,0%,0%,11%,0%,0%,0%,5%,3100,"Mastroianni, Dominic B"
ENGL,The Practice of Criticism,71%,19%,5%,0%,0%,0%,0%,0%,5%,3100,"Mullaney, Clare Renee"
ENGL,"ENGL3140Beck, Katalin",59%,31%,6%,0%,2%,0%,0%,2%,0%,3140,"Beck, Katalin"
ENGL,"ENGL3140Carter, Sarah Elizabeth Smith",78%,12%,4%,0%,6%,0%,0%,0%,0%,3140,"Carter, Sarah Elizabeth Smith"
ENGL,"ENGL3140Cunningham, William Weldon",66%,24%,8%,0%,0%,0%,0%,2%,0%,3140,"Cunningham, William Weldon"
ENGL,Technical Writing,71%,22%,0%,4%,0%,0%,0%,0%,2%,3140,"Frith, Jordan Harris"
ENGL,Technical Writing,91%,4%,0%,0%,4%,0%,0%,0%,0%,3140,"Holmevik, Jan Rune"
ENGL,"ENGL3140Hunter, Cody S",69.50%,18.50%,4%,0%,0%,0%,0%,8%,0%,3140,"Hunter, Cody S"
ENGL,"ENGL3140Nalley, Sharon Kathleen",55%,39%,4%,0%,0%,0%,0%,2%,0%,3140,"Nalley, Sharon Kathleen"
ENGL,"ENGL3140Sindelar, Kailan Smith",68%,28%,2%,0%,2%,0%,0%,0%,0%,3140,"Sindelar, Kailan Smith"
ENGL,"ENGL3150Pulley, William M",45%,24.67%,15.67%,1.67%,6%,0%,0%,6.33%,1.33%,3150,"Pulley, William M"
ENGL,"ENGL3150Randall, Philip D",60.50%,27%,0%,0%,10%,0%,0%,2%,0%,3150,"Randall, Philip D"
ENGL,Creative Inquiry: English,91%,9%,0%,0%,0%,0%,0%,0%,0%,3370,"Naimou, Angela M"
ENGL,"ENGL3450Lawson, April Ayers",80.50%,0%,0%,2.50%,0%,0%,0%,17%,0%,3450,"Lawson, April Ayers"
ENGL,Intr Creative Writing: Poet,76%,10%,10%,0%,0%,0%,0%,5%,0%,3460,"Edwards, Stephanie Lorraine"
ENGL,Intr Creat Writ: Screenwriti,86%,9%,5%,0%,0%,0%,0%,0%,0%,3480,"Brown, Nicholas Christiansen"
ENGL,"ENGL3490Bose, Maria Selene",73.50%,26.50%,0%,0%,0%,0%,0%,0%,0%,3490,"Bose, Maria Selene"
ENGL,Mythology,43%,48%,5%,0%,0%,0%,0%,5%,0%,3500,"Tuite, Kenneth Michael"
ENGL,Lit Middle East & North Afr,65%,25%,5%,0%,0%,0%,0%,5%,0%,3540,"Naimou, Angela M"
ENGL,"ENGL3570Monaghan, Amy N",38.33%,50.67%,3.33%,0%,5%,0%,0%,1.67%,1.67%,3570,"Monaghan, Amy N"
ENGL,Film,59%,36%,0%,0%,0%,0%,0%,5%,0%,3570,"Smith, John Robert"
ENGL,Film,76%,10%,14%,0%,0%,0%,0%,0%,0%,3570,"Troy, Edward Thomas Joseph"
ENGL,Adolescent Lit,67%,29%,0%,0%,5%,0%,0%,0%,0%,3860,"Godwin, Hannah Pittman"
ENGL,Brit Lit Survey II,50%,30%,10%,5%,0%,0%,0%,5%,0%,3970,"Coombs, David Sweeney"
ENGL,Amer Lit Survey I,67%,19%,5%,0%,5%,0%,0%,5%,0%,3980,"Manganelli, Kimberly Snyder"
ENGL,Amer Lit Survey II,58%,37%,0%,0%,5%,0%,0%,0%,0%,3990,"Mullaney, Clare Renee"
ENGL,Grammar Survey,29%,24%,24%,10%,0%,0%,0%,14%,0%,4010,"McGrath, Brian M"
ENGL,The Classics in Translation,80%,15%,5%,0%,0%,0%,0%,0%,0%,4030,"Howard, Tharon W"
ENGL,"ENGL4110Rivlin, Elizabeth J",37%,42%,8%,2.50%,3%,0%,0%,5.50%,2.50%,4110,"Rivlin, Elizabeth J"
ENGL,The Romantic Period,26%,43%,17%,4%,0%,0%,0%,9%,0%,4160,"McGrath, Brian M"
ENGL,The Victorian Period,86%,10%,0%,5%,0%,0%,0%,0%,0%,4170,"Manganelli, Kimberly Snyder"
ENGL,Southern Literature,70%,20%,5%,0%,0%,0%,0%,0%,5%,4260,"Bushnell, Cameron Fae"
ENGL,Anglo-Irish Literary Traditi,5%,67%,14%,5%,5%,0%,0%,5%,0%,4330,"Morrissey, Lee J"
ENGL,Environmental Literature,76%,19%,0%,0%,0%,0%,0%,5%,0%,4340,"Hooley, Matthew H"
ENGL,Film Theory and Criticism,47%,47%,0%,0%,0%,0%,0%,6%,0%,4510,"Skrodzka, Agnieszka"
ENGL,Sexuality and the Cinema,42%,25%,17%,8%,0%,0%,0%,8%,0%,4530,"Skrodzka, Agnieszka"
ENGL,Adaptations of World Class,67%,28%,0%,0%,0%,0%,0%,0%,6%,4580,"Smith, John Robert"
ENGL,Spec Top Lang Criticism Th,67%,13%,7%,0%,7%,0%,0%,7%,0%,4590,"Hislop, Maya Sylvia"
ENGL,Topics in Literature to 169,74%,21%,0%,0%,0%,0%,0%,5%,0%,4630,"Slayton, Kendra M"
ENGL,Writing for Electronic Medi,68%,18%,5%,0%,9%,0%,0%,0%,0%,4750,"Field, Jonathan Beecher"
ENGL,Filmmaking for Mobile Me,70%,20%,0%,0%,10%,0%,0%,0%,0%,4760,"Holmevik, Jan Rune"
ENGL,African American Lit 1920-,86%,14%,0%,0%,0%,0%,0%,0%,0%,4830,"Hislop, Maya Sylvia"
ENGL,Senior Seminar,62%,23%,8%,0%,0%,0%,0%,8%,0%,4960,"Smith, Michelle C"
ENGL,Top Renaiss & Restoration,57%,43%,0%,0%,0%,0%,0%,0%,0%,8080,"Stockton, William H"
ENGL,Master's Thesis Research,0%,0%,0%,0%,0%,100%,0%,0%,0%,8910,"Hankins, Gabriel Anderson"
ENGR,"ENGR1020Minor, John C",10%,32.50%,18%,9%,16.50%,0%,0%,14.50%,0%,1020,"Minor, John C"
ENGR,Engineering Discipl & Skills,9%,26%,37%,9%,9%,0%,0%,11%,0%,1020,"Stephan, Elizabeth Anne"
ENGR,"ENGR1110Chapa, Joseph Overlin",55.50%,25.50%,16.50%,0%,0%,0%,0%,2.50%,0%,1110,"Chapa, Joseph Overlin"
ENGR,"ENGR1410Brandon, Steven C",44%,43.67%,5.33%,1%,0%,0%,0%,6.67%,0%,1410,"Brandon, Steven C"
ENGR,Programming & Problem S,43%,40%,10%,5%,0%,0%,0%,3%,0%,1410,"Chapa, Joseph Overlin"
ENGR,"ENGR1410Harcum, Jonathan Brooks",57%,35%,8.33%,0%,0%,0%,0%,0%,0%,1410,"Harcum, Jonathan Brooks"
ENGR,"ENGR1410Kiernan, Michael Joseph",41%,36.33%,15.67%,0%,2.67%,0%,0%,4.33%,0%,1410,"Kiernan, Michael Joseph"
ENGR,"ENGR1410Maier, Jonathan R",62%,34.50%,1%,0%,1%,0%,0%,1%,0%,1410,"Maier, Jonathan R"
ENGR,"ENGR1410Martin, Baker Andrew",36.33%,43%,15%,2%,1%,0%,0%,3%,0%,1410,"Martin, Baker Andrew"
ENGR,Programming & Problem S,38%,50%,13%,0%,0%,0%,0%,0%,0%,1410,"Martin, William D"
ENGR,"ENGR1410Neptune, Andrew Isaac",45%,34.67%,9.33%,6%,1.33%,0%,0%,3.33%,0%,1410,"Neptune, Andrew Isaac"
ENGR,"ENGR1410Waldrop, Michael T",45.67%,42%,8.33%,1.33%,0%,0%,0%,3.33%,0%,1410,"Waldrop, Michael T"
ENGR,"ENGR1520Miller, Matthew Kent",12.50%,44%,31%,7%,1.50%,0%,0%,4%,0%,1520,"Miller, Matthew Kent"
ENGR,"ENGR2080Bakle, Curtis J",59%,30.50%,4%,4%,2%,0%,0%,1%,0%,2080,"Bakle, Curtis J"
ENGR,"ENGR2080Stuart, Callie Diane",51%,25.50%,13.50%,1%,6%,0%,0%,3%,0%,2080,"Stuart, Callie Diane"
ENGR,"ENGR2080THOMAS, VISHAL JOSEPH",49%,25%,16.50%,2%,4.50%,0%,0%,3%,0%,2080,"THOMAS, VISHAL JOSEPH"
ENGR,"ENGR2080Walker, Kyle J",62.50%,22.50%,6%,2%,2%,0%,0%,5%,0%,2080,"Walker, Kyle J"
ENGR,Engr Graphics & Machine,65%,17%,8%,6%,4%,0%,0%,0%,0%,2080,"Yasmin, Nighat"
ENGR,"ENGR2100Cassule, Leonildo Nelson",41%,32%,13%,0%,6%,0%,0%,4.50%,3.50%,2100,"Cassule, Leonildo Nelson"
ENGR,"ENGR2100Mohammadi Nafchi, Ali",41%,19.50%,14.50%,7.50%,10%,0%,0%,7.50%,1%,2100,"Mohammadi Nafchi, Ali"
ENGR,CAD & Engineering Applica,37%,37%,7%,3%,7%,0%,0%,10%,0%,2100,"Yasmin, Nighat"
ENR,Intro to Envir & Natur Res I,48%,29%,13%,2%,6%,0%,0%,2%,0%,1020,"Clay, Lucas"
ENR,Nat Res Measurements,63%,29%,3%,3%,0%,0%,0%,3%,0%,3020,"Barrett, Russell K"
ENR,Restoration Ecology,52%,22%,11%,7%,4%,0%,0%,4%,0%,4130,"Hagan, Althea Simone Hotaling"
ENR,"ENR4500Johnson, Alan R.",69%,20%,6.50%,2.50%,1.50%,0%,0%,0%,0%,4500,"Johnson, Alan R."
ENR,Restoration Ecology,88%,12%,0%,0%,0%,0%,0%,0%,0%,6130,"Hagan, Althea Simone Hotaling"
ENSP,Intro Environ Sci,63%,27%,10%,0%,0%,0%,0%,0%,0%,2000,"Carraway, Elizabeth R."
ENSP,"ENSP2000Nammouz, Minory",79%,16%,4.50%,0%,0%,0%,0%,0%,0%,2000,"Nammouz, Minory"
ENSP,Intro Environ Sci,41%,35%,10%,6%,4%,0%,0%,4%,0%,2000,"Owino, Tom O."
ENSP,Studies in Environmental S,52%,39%,0%,0%,4%,0%,0%,4%,0%,4000,"Thompson, Margaret Louise"
ENT,Seminar in Entomology,0%,0%,0%,0%,0%,100%,0%,0%,0%,8090,"Cieniewicz, Elizabeth Jeannette"
ENTR,Entrepreneurial Mindset,52%,24%,13%,5%,5%,0%,0%,1%,0%,1010,"Hannon, John Michael"
ENTR,How to Start a Startup,54%,27%,8%,0%,0%,0%,0%,12%,0%,1090,"Hannon, John Michael"
ENTR,Sports Entrepreneurship,73%,20%,3%,5%,0%,0%,0%,0%,0%,2010,"Hannon, John Michael"
ESED,Student Strategies in STEM,71%,29%,0%,0%,0%,0%,0%,0%,0%,8250,"Benson, Lisa C"
ESED,Prof. STEM Communicatio,70%,20%,0%,0%,0%,0%,0%,10%,0%,8500,"High, Karen Ann"
ESED,Quantitative Methods in S,75%,0%,0%,0%,0%,0%,0%,0%,25%,8500,"Orr, Marisa Kikendall"
ESED,Dissertation Rsrch and Wri,0%,0%,0%,0%,0%,100%,0%,0%,0%,9910,"High, Karen Ann"
ETOX,Departmental Seminar,0%,0%,0%,0%,0%,100%,0%,0%,0%,8610,"Van den Hurk, Peter"
FCS,Doctoral Research,0%,0%,0%,0%,0%,100%,0%,0%,0%,9910,"Small, Mark A"
FDSC,Fd Resources & Soc,85%,10%,2%,1%,1%,0%,0%,1%,0%,2140,"Dawson, Paul L"
FDSC,Food Chemistry II,29%,47%,18%,0%,0%,0%,0%,6%,0%,4020,"Chen, Feng"
FDSC,Food Ch & Analysis,67%,20%,7%,7%,0%,0%,0%,0%,0%,4030,"Dawson, Paul L"
